0;Щит от клинков;Трюк, ограждение;1 действие;Вы;В, С;1 раунд; Вы поднимаете руку и чертите в воздухе защитный символ. До конца вашего следующего хода вы получаете сопротивление к дробящему, режущему и колющему урону от оружия.;Бард;
0;Танцующие огоньки;Трюк, проявление;1 действие;120 футов;В, С, M ;Конц-я, до 1 мин;(кусочек фосфора, ведьминого дерева или личинка светляка) Вы создаете четыре огонька размером с огонь факела в пределах дальности заклинания, делая их похожими на свет фонарей, факелов или сияющих шариков, которые парят в воздухе, пока действует заклинание. Кроме того, вы можете соединить четыре огонька в один огонь, по форме отдаленно напоминающий гуманоида Среднего размера. Независимо от формы, огонек излучает тусклый свет в радиусе 10 футов.   В качестве дополнительного действия в свой ход вы можете передвинуть огоньки на расстояние до 60 футов в пределах дальности заклинания. Огонек должен находиться в пределах 20 футов от другого огонька, созданного этим заклинанием. Они мгновенно гаснут, оказавшись за пределами действия заклинания.;Бард;
0;Друзья;Трюк, очарование;1 действие;Вы;С, М ;Конц-я, до 1 мин;(немного косметики на лице в момент произнесения заклинания) На время действия заклинания вы получаете преимущество при всех проверках Харизмы, направленных на одно, выбранное вами невраждебное существо. Когда заклинание заканчивается, существо осознает, что вы использовали магию, чтобы воздействовать на него, и становится враждебным. Существо, склонное к насилию, может атаковать вас. Другие могут искать другой способ наказать вас (по усмотрению МП), в зависимости от того, как вы с ним взаимодействовали.;Бард;
0;Свет;Трюк, проявление;1 действие;Касание;В, М ;1 час;(светлячок или фосфоресцирующий мох) Вы касаетесь одного объекта, размер которого не превышает 10 футов в любой из размерностей. Пока заклинание действует, объект излучает яркий свет на 20 футов от него и тусклый свет еще на 20 футов дальше. Окраска света может быть любой. Его можно заблокировать, накрыв объект чем-то непрозрачным. Действие заклинания заканчивается, если вы произносите его снова или отменяете в качестве действия. Если вы используете заклинание на объект, который одет или находится в руках враждебного существа, то это существо должно сделать спасбросок по Ловкости, чтобы избежать заклинания.;Бард;
0;Волшебная рука;Трюк, призыв;1 действие;30 футов;В, С;1 минута; Призрачная, летающая рука появляется в указанной вами точке в пределах дальности заклинания. Рука существует до тех пор, пока заклинание не закончится или вы не отзовете ее в качестве действия. Рука также исчезает, если окажется на расстоянии более 30 футов от вас, или вы произнесете это заклинание снова.   В качестве действия вы можете управлять рукой. Вы можете  использовать ее, чтобы воздействовать на объекты, открывать незамкнутые двери или емкости, доставать или класть предмет в открытую емкость, или выливать содержимое из флаконов. Вы можете перемещать руку на расстояние до 30 футов каждый раз, когда вы используете ее.   Рука не может атаковать, активировать магические предметы или поднимать предметы весом более 10 фунтов.;Бард;
0;Починка;Трюк, преобразование;1 минута;Касание;В, С, М ;Мгновенно;(два магнетита) Это заклинание восстанавливает один разлом или разрыв в объекте, которого вы касаетесь. Например сломанное звено цепи, две половинки сломанного ключа, порваный плащ или протекающий бурдюк. Пока разрыв или разлом не больше 1 фута в любой из размерностей, вы полностью исправляете его, не оставляя следов. Заклинание способно физически починить магический предмет или голема, но не может вернуть в него магию.;Бард;
0;Сообщение;Трюк, преобразование;1 действие;120 футов;В, С, M ;1 раунд;(короткий отрезок медной проволоки) Вы направляете палец на существо в пределах дальности заклинания и шепчете послание. Цель (и только она) слышит это послание и может ответить шепотом, который услышите только вы.   Вы можете использовать это заклинание сквозь твердые объекты, если вы знакомы с целью и знаете, что она находится по другую сторону объекта. Магическая тишина, 1 фут камня, 1 дюйм обычного металла, тонкий слой свинца или 3 фута дерева блокируют заклинание. Заклинание может распространяться не  только по прямой линии, но и свободно огибать углы и проникать в проемы.;Бард;
0;Малая иллюзия;Трюк, иллюзия;1 действие;30 футов;С, М ;1 минута;(немного овечьей шерсти) Вы создаете звук или образ объекта в пределах дальности заклинания. Он существует, пока действует заклинание, пока вы не отзовете его в качестве действия, или пока не произнесете это заклинание снова.   Если вы создаете звук, то его громкость может варьироваться от шептока до крика. Это может быть ваш или чей-то голос, рык льва, бой барабанов или любой другой звук на ваш выбор. Звук раздается неослабевая, пока действует заклинание, или вы можете создать отдельные звуки, раздающиеся через промежутки времени.   Если вы создаете образ объекта, например стула, следов или маленького сундука, то он должен умещаться в куб со стороной 5 футов. Образ не может создавать звуки, свет, запах или любой другой сенсорный эффект. Физическое взаимодействие с образом дает понять, что это иллюзия, поскольку сквозь нее проходят вещи.   Если существо использует действие, чтобы изучить звук или образ, оно может определить, что это иллюзия, если сделает успешную проверку Интеллекта (Анализ) против вашего КС заклинаний. Если существо узнает, что это иллюзия, то она становится более слабой для него.;Бард;
0;Фокусы;Трюк, преобразование;1 действие;10 футов;В, С;До 1 часа; Заклинание представляет собой простой магический трюк, который используют начинающие маги для тренировок. Вы создаете один из следующих эффектов в пределах дальности заклинания: <br>-Вы создаете мгновенны, безвредный сенсорный эффект, например дождь искр, дуновение ветерка, тихую мелодиюили странный запах. <br>-Вы мгновенно зажигаете или тушите свечу, факел или маленький костер. <br>-Вы мгновенно очищаете или пачкаете объект объемом не более 1 кубического фута. <br>-Вы охлаждаете, нагреваете или ароматизируете до 1 кубического фута неживого вещества на 1 час. <br>-На выбранном вами объекте или поверхности появляется знак или символ, который исчезает через 1 час. <br>-Вы создаете немагическую безделушку или иллюзорный образ в вашей руке, который существует до конца вашегоследующего хода. Если вы произнесете это заклинание несколько раз подряд, то можете поддерживать до трех не мгновенных эффектов одновременно и можете отменить любой из них в качестве действия.;Бард;
0;Меткий удар;Трюк, прорицание;1 действие;30 футов;С;Конц-я, до 1 раунда; Вы протягиваете руку и указываете пальцем на существо в пределах дальности заклинания. Ваша магия на мгновение позволяет вам увидеть слабые места в защите цели. В ваш следующий ход, вы получаете преимущество на первый бросок атаки против этой цели, если заклинание не закончилось.;Бард;
0;Злая насмешка;Трюк, очарование;1 действие;60 футов;В;Мгновенно; Вы произносите ряд оскорблений, пронизаных незаметной магией, в отношении существа, которое вы можете видеть в пределах дальности заклинания. Если существо может слышать вас (ему не обязательно понимать вас), то оно должно сделать успешный спасбросок по Мудрости или получит 1d4 психического урона и получит помеху на следующий бросок атаки, который оно совершит до конца своего следующего хода.   Урон этого заклинания усиливается на 1d4, когда вы достигаете 5 уровня (2d4), 11 уровня (3d4) и 17 уровня (4d4).;Бард;
1;Дружба с животными;1 круг очарование;1 действие;30 футов;В, С, М;24 часа;(кусочек пищи) Заклинание позволяет убедить животное, что вы не причините ему вреда. Выберите существо, которое вы можете видеть в пределах дальности заклинания. Если Интеллект животного 4 или выше, заклинание не срабатывает. В противном случае, существо должно сделать успешный спасбросок по Мудрости, или будет очаровано на время действия заклинания. Если вы или один из ваших компаньонов нанесут вред цели, то заклинание заканчивается.   <br><b>На более высоких кругах.</b> Если вы произносите заклинание, используя ячейку 2 круга или выше, то вы можете воздействовать на одно дополнительное животное за каждый круг выше первого.;Бард;
1;Порча;1 круг очарование;1 действие;30 футов;В, С, М ;Конц-я, до 1 мин;(капля крови) До трех существ на ваш выбор из тех, что вы можете видеть в пределах дальности заклинания, должны сделать спасбросок по Харизме. Пока дейстевует заклинание, каждый раз, когда существо, провалившее этот спасбросок, делает бросок атаки ли спасбросок, оно должно бросить d4 и вычесть результат из результата своего броска атаки или спасброска.   <br><b>На более высоких кругах.</b> Если вы произносите заклинание, используя ячейку 2 круга или выше, то можете использовать это заклинание на одно дополнительное существо за каждый круг выше первого.;Бард;
