0;Blade Ward;Abjuration Cantrip;1 action;Self;V, S;1 round; You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.;Warlock
0;Chill Touch;Necromancy Cantrip;1 action;120 feet;V, S;1 round; You create a ghostly, skeletal hand in the space of a creature within range. Make a ranged spell attack against the creature to assail it with the chill of the grave. On a hit, the target takes 1d8 necrotic damage, and it can't regain hit points until the start of your next turn. Until then, the hand clings to the target. If you hit an undead target, it also has disadvantage on attack rolls against you until the end of your next turn. This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).;Warlock
0;Eldritch Blast;Evocation Cantrip;1 action;120 feet;V, S;Instantaneous; A beam of crackling energy streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 force damage. The spell creates more than one beam when you reach higher levels: two beams at 5th level, three beams at 11th level, and four beams at 17th level. you can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.;Warlock
0;Friends;Enchantment Cantrip;1 action;Self;S, M ;Concentration, up to 1 minute;(a small amount of makeup applied to the face as this spell is cast) For the duration, you have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile toward you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion), depending on the nature of your interaction with it.;Warlock
0;Mage Hand;Conjuration Cantrip;1 action;30 feet;V, S;1 minute; A spectral, floatin hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again. You can use your action to control the hand. You can use the hand to manipulate an object, open an unlocked foor or container, stow or retrieve an item from an open container, or pour the contents out of a vial. You can move the hand up to 30 feet each time you use it. The hand can't attack, activate magical items, or carry more than 10 pounds.;Warlock
0;Minor Illusion;Illusion Cantrip;1 action;30 feet;S, M ;1 minute;(a bit of fleece) You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again. If you create a sound, its volume can range from a whisper to a scream. It can be your voice, someone else's voice, a lion's roar, a beating of drums, or any other sound you choose. The sound continues unabated throughout the duration, or you can make discrete sounds at different times before the spell ends. If you create an image of an object?such as a chair, muddy footprints, or a small chest?it must be no larger than a 5-foot cube. The image can't create sound, light, smell, or any other sensory effect. Physical interaction with the image reveals it to be an illusion, because things can pass through it. If a creature uses its action to examine the sound or image, the creature can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the illusion becomes faint to the creature.;Warlock
0;Poison Spray;Conjuration Cantrip;1 action;10 feet;V, S;Instantaneous; You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage. This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12).;Warlock
0;Prestidigitation;Transmutation Cantrip;1 action;10 feet;V, S;Up to 1 hour; This spell is a minor magical trick that novice spellcasters use for practice. You create one of the following magical effects within range:<br>- You create an instantaneous, harmless sensory effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor.<br>- You instantaneously light or snuff out a candle, a torch, or a small campfire.<br>- You instantaneously clean or soil an object no larger than 1 cubic foot.<br>- You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour.<br>- You make a color, a small mark, or a symbol appear on an object or a surface for 1 hour.<br>- You create a nonmagical trinket or an illusory image that can fit in your hand and that lasts until the end of your next turn. If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.;Warlock
0;True Strike;Divination Cantrip;1 action;30 feet;S;Concentration, up to 1 round; You extend your hand and point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn't ended.;Warlock
0;Create Bonfire;Conjuration cantrip;1 action;60 feet;V, S;Concentration, up to 1 minute; You create a bonfire on ground that you can see within range. Until the spells ends, the bonfire fills a 5-foot cube. Any creature in the bonfire’s space when you cast the spell must succeed on a Dexterity saving throw or take 1d8 fire damage. A creature must also make the saving throw when it enters the bonfire’s space for the first time on a turn or ends its turn there. The spell’s damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).;Warlock (TOEE)
0;Frostbite;Evocation cantrip;1 action;60 feet;V, S;Instantaneous; You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn. The spell’s damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).;Warlock (TOEE)
0;Magic Stone;Transmutation cantrip;1 bonus action;Touch;V, S;1 minute; You touch one to three pebbles and imbue them with magic. You or someone else can make a ranged spell attack with one of the pebbles by throwing it or hurling it with a sling. If thrown, it has a range of 60 feet. If someone else attacks with the pebble, that attacker adds your spellcasting ability modifier, not the attacker’s, to the attack roll. On a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. Hit or miss, the spell then ends on the stone. If you cast this spell again, the spell ends early on any pebbles still affected by it.;Warlock (TOEE)
